Code,Name,FK_Month
19450911,1945-1946 September 11               ,1945194603
19450912,1945-1946 September 12               ,1945194603
19450913,1945-1946 September 13               ,1945194603
19450914,1945-1946 September 14               ,1945194603
19450915,1945-1946 September 15               ,1945194603
19450916,1945-1946 September 16               ,1945194603
19450917,1945-1946 September 17               ,1945194603
19450918,1945-1946 September 18               ,1945194603
19450919,1945-1946 September 19               ,1945194603
19450920,1945-1946 September 20               ,1945194603
19450921,1945-1946 September 21               ,1945194603
19450922,1945-1946 September 22               ,1945194603
19450923,1945-1946 September 23               ,1945194603
19450924,1945-1946 September 24               ,1945194603
19450925,1945-1946 September 25               ,1945194603
19450926,1945-1946 September 26               ,1945194603
19450927,1945-1946 September 27               ,1945194603
19450928,1945-1946 September 28               ,1945194603
19450929,1945-1946 September 29               ,1945194603
19450930,1945-1946 September 30               ,1945194603
19451001,1945-1946 October 01                 ,1945194604
19451002,1945-1946 October 02                 ,1945194604
19451003,1945-1946 October 03                 ,1945194604
19451004,1945-1946 October 04                 ,1945194604
19451005,1945-1946 October 05                 ,1945194604
19451006,1945-1946 October 06                 ,1945194604
19451007,1945-1946 October 07                 ,1945194604
19451008,1945-1946 October 08                 ,1945194604
19451009,1945-1946 October 09                 ,1945194604
19451010,1945-1946 October 10                 ,1945194604
19451011,1945-1946 October 11                 ,1945194604
19451012,1945-1946 October 12                 ,1945194604
19451013,1945-1946 October 13                 ,1945194604
19451014,1945-1946 October 14                 ,1945194604
19451015,1945-1946 October 15                 ,1945194604
19451016,1945-1946 October 16                 ,1945194604
19451017,1945-1946 October 17                 ,1945194604
19451018,1945-1946 October 18                 ,1945194604
19451019,1945-1946 October 19                 ,1945194604
19451020,1945-1946 October 20                 ,1945194604
19451021,1945-1946 October 21                 ,1945194604
19451022,1945-1946 October 22                 ,1945194604
19451023,1945-1946 October 23                 ,1945194604
19451024,1945-1946 October 24                 ,1945194604
19451025,1945-1946 October 25                 ,1945194604
19451026,1945-1946 October 26                 ,1945194604
19451027,1945-1946 October 27                 ,1945194604
19451028,1945-1946 October 28                 ,1945194604
19451029,1945-1946 October 29                 ,1945194604
19451030,1945-1946 October 30                 ,1945194604
19451031,1945-1946 October 31                 ,1945194604
19451101,1945-1946 November 01                ,1945194605
19451102,1945-1946 November 02                ,1945194605
19451103,1945-1946 November 03                ,1945194605
19451104,1945-1946 November 04                ,1945194605
19451105,1945-1946 November 05                ,1945194605
19451106,1945-1946 November 06                ,1945194605
19451107,1945-1946 November 07                ,1945194605
19451108,1945-1946 November 08                ,1945194605
19451109,1945-1946 November 09                ,1945194605
19451110,1945-1946 November 10                ,1945194605
19451111,1945-1946 November 11                ,1945194605
19451112,1945-1946 November 12                ,1945194605
19451113,1945-1946 November 13                ,1945194605
19451114,1945-1946 November 14                ,1945194605
19451115,1945-1946 November 15                ,1945194605
19451116,1945-1946 November 16                ,1945194605
19451117,1945-1946 November 17                ,1945194605
19451118,1945-1946 November 18                ,1945194605
19451119,1945-1946 November 19                ,1945194605
19451120,1945-1946 November 20                ,1945194605
19451121,1945-1946 November 21                ,1945194605
19451122,1945-1946 November 22                ,1945194605
19451123,1945-1946 November 23                ,1945194605
19451124,1945-1946 November 24                ,1945194605
19451125,1945-1946 November 25                ,1945194605
19451126,1945-1946 November 26                ,1945194605
19451127,1945-1946 November 27                ,1945194605
19451128,1945-1946 November 28                ,1945194605
19451129,1945-1946 November 29                ,1945194605
19451130,1945-1946 November 30                ,1945194605
19451201,1945-1946 December 01                ,1945194606
19451202,1945-1946 December 02                ,1945194606
19451203,1945-1946 December 03                ,1945194606
19451204,1945-1946 December 04                ,1945194606
19451205,1945-1946 December 05                ,1945194606
19451206,1945-1946 December 06                ,1945194606
19451207,1945-1946 December 07                ,1945194606
19451208,1945-1946 December 08                ,1945194606
19451209,1945-1946 December 09                ,1945194606
19451210,1945-1946 December 10                ,1945194606
19451211,1945-1946 December 11                ,1945194606
19451212,1945-1946 December 12                ,1945194606
19451213,1945-1946 December 13                ,1945194606
19451214,1945-1946 December 14                ,1945194606
19451215,1945-1946 December 15                ,1945194606
19451216,1945-1946 December 16                ,1945194606
19451217,1945-1946 December 17                ,1945194606
19451218,1945-1946 December 18                ,1945194606
19451219,1945-1946 December 19                ,1945194606
19451220,1945-1946 December 20                ,1945194606
19451221,1945-1946 December 21                ,1945194606
19451222,1945-1946 December 22                ,1945194606
19451223,1945-1946 December 23                ,1945194606
19451224,1945-1946 December 24                ,1945194606
19451225,1945-1946 December 25                ,1945194606
19451226,1945-1946 December 26                ,1945194606
19451227,1945-1946 December 27                ,1945194606
19451228,1945-1946 December 28                ,1945194606
19451229,1945-1946 December 29                ,1945194606
19451230,1945-1946 December 30                ,1945194606
19451231,1945-1946 December 31                ,1945194606
19460101,1945-1946 January 01                 ,1945194607
19460102,1945-1946 January 02                 ,1945194607
19460103,1945-1946 January 03                 ,1945194607
19460104,1945-1946 January 04                 ,1945194607
19460105,1945-1946 January 05                 ,1945194607
19460106,1945-1946 January 06                 ,1945194607
19460107,1945-1946 January 07                 ,1945194607
19460108,1945-1946 January 08                 ,1945194607
19460109,1945-1946 January 09                 ,1945194607
19460110,1945-1946 January 10                 ,1945194607
19460111,1945-1946 January 11                 ,1945194607
19460112,1945-1946 January 12                 ,1945194607
19460113,1945-1946 January 13                 ,1945194607
19460114,1945-1946 January 14                 ,1945194607
19460115,1945-1946 January 15                 ,1945194607
19460116,1945-1946 January 16                 ,1945194607
19460117,1945-1946 January 17                 ,1945194607
19460118,1945-1946 January 18                 ,1945194607
19460119,1945-1946 January 19                 ,1945194607
19460120,1945-1946 January 20                 ,1945194607
19460121,1945-1946 January 21                 ,1945194607
19460122,1945-1946 January 22                 ,1945194607
19460123,1945-1946 January 23                 ,1945194607
19460124,1945-1946 January 24                 ,1945194607
19460125,1945-1946 January 25                 ,1945194607
19460126,1945-1946 January 26                 ,1945194607
19460127,1945-1946 January 27                 ,1945194607
19460128,1945-1946 January 28                 ,1945194607
