Code,Name,FK_Quarter
1990199103,1990-1991 September,199019911
1990199104,1990-1991 October,199019912
1990199105,1990-1991 November,199019912
1990199106,1990-1991 December,199019912
1990199107,1990-1991 January,199019913
1990199108,1990-1991 February,199019913
1990199109,1990-1991 March,199019913
1990199110,1990-1991 April,199019914
1990199111,1990-1991 May,199019914
1990199112,1990-1991 June,199019914
1991199201,1991-1992 July,199119921
1991199202,1991-1992 August,199119921
1991199203,1991-1992 September,199119921
1991199204,1991-1992 October,199119922
1991199205,1991-1992 November,199119922
1991199206,1991-1992 December,199119922
1991199207,1991-1992 January,199119923
1991199208,1991-1992 February,199119923
1991199209,1991-1992 March,199119923
1991199210,1991-1992 April,199119924
1991199211,1991-1992 May,199119924
1991199212,1991-1992 June,199119924
1992199301,1992-1993 July,199219931
1992199302,1992-1993 August,199219931
1992199303,1992-1993 September,199219931
1992199304,1992-1993 October,199219932
1992199305,1992-1993 November,199219932
1992199306,1992-1993 December,199219932
1992199307,1992-1993 January,199219933
1992199308,1992-1993 February,199219933
1992199309,1992-1993 March,199219933
1992199310,1992-1993 April,199219934
1992199311,1992-1993 May,199219934
1992199312,1992-1993 June,199219934
1993199401,1993-1994 July,199319941
1993199402,1993-1994 August,199319941
1993199403,1993-1994 September,199319941
1993199404,1993-1994 October,199319942
1993199405,1993-1994 November,199319942
1993199406,1993-1994 December,199319942
1993199407,1993-1994 January,199319943
1993199408,1993-1994 February,199319943
1993199409,1993-1994 March,199319943
1993199410,1993-1994 April,199319944
1993199411,1993-1994 May,199319944
1993199412,1993-1994 June,199319944
1994199501,1994-1995 July,199419951
1994199502,1994-1995 August,199419951
1994199503,1994-1995 September,199419951
1994199504,1994-1995 October,199419952
1994199505,1994-1995 November,199419952
1994199506,1994-1995 December,199419952
1994199507,1994-1995 January,199419953
1994199508,1994-1995 February,199419953
1994199509,1994-1995 March,199419953
1994199510,1994-1995 April,199419954
1994199511,1994-1995 May,199419954
1994199512,1994-1995 June,199419954
1995199601,1995-1996 July,199519961
1995199602,1995-1996 August,199519961
1995199603,1995-1996 September,199519961
1995199604,1995-1996 October,199519962
1995199605,1995-1996 November,199519962
1995199606,1995-1996 December,199519962
1995199607,1995-1996 January,199519963
1995199608,1995-1996 February,199519963
1995199609,1995-1996 March,199519963
1995199610,1995-1996 April,199519964
1995199611,1995-1996 May,199519964
1995199612,1995-1996 June,199519964
1996199701,1996-1997 July,199619971
1996199702,1996-1997 August,199619971
1996199703,1996-1997 September,199619971
1996199704,1996-1997 October,199619972
1996199705,1996-1997 November,199619972
1996199706,1996-1997 December,199619972
1996199707,1996-1997 January,199619973
1996199708,1996-1997 February,199619973
1996199709,1996-1997 March,199619973
